wv,n,k
300,1.552770264,0.00000286
322,1.545869929,6.0857143e-7
344,1.540446687,1.570625e-7
366,1.536090528,3.284e-8
388,1.532527732,0.0000000151
410,1.529568767,9.17e-9
432,1.527078429,1.06725e-8
454,1.524957846,0.0000000105
476,1.523133174,1.0012e-8
498,1.521548253,9.616e-9
520,1.520159688,8.4452174e-9
542,1.518933478,7.1969565e-9
564,1.517842648,8.1770588e-9
586,1.516865557,9.6475e-9
608,1.515984669,1.1105e-8
630,1.515185645,1.2075e-8
652,1.51445666,1.246e-8
674,1.51378789,1.13155e-8
696,1.513171112,9.297e-9
718,1.512599402,8.9885e-9
740,1.512066895,9.06e-9
762,1.51156859,9.1315e-9
784,1.511100206,9.203e-9
806,1.510658057,9.2745e-9
828,1.510238956,9.346e-9
850,1.509840135,9.4175e-9
872,1.50945918,9.489e-9
894,1.509093978,9.5605e-9
916,1.508742673,9.632e-9
938,1.508403627,9.7035e-9
960,1.508075392,9.775e-9
982,1.507756683,9.8465e-9
1004,1.507446357,9.918e-9
1026,1.507143392,9.9895e-9
1048,1.506846874,1.0061e-8
1070,1.506555982,1.1978723e-8
1092,1.506269979,1.6111915e-8
1114,1.505988198,2.0245106e-8
1136,1.505710037,2.4378298e-8
1158,1.50543495,2.8511489e-8
1180,1.505162442,3.2644681e-8
1202,1.50489206,3.6777872e-8
1224,1.504623394,4.0911064e-8
1246,1.504356065,4.5044255e-8
1268,1.50408973,4.9177447e-8
1290,1.503824072,5.3310638e-8
1312,1.503558798,5.744383e-8
1334,1.503293642,6.1577021e-8
1356,1.503028354,6.5710213e-8
1378,1.502762706,6.9843404e-8
1400,1.502496485,7.3976596e-8
1422,1.502229493,7.8109787e-8
1444,1.501961547,8.2242979e-8
1466,1.501692477,8.637617e-8
1488,1.501422121,9.0509362e-8
1510,1.501150331,9.4642553e-8
1532,1.500876967,1.0290727e-7
1554,1.500601898,1.5248727e-7
1576,1.500324999,2.0206727e-7
1598,1.500046155,2.5164727e-7
1620,1.499765255,3.0122727e-7
1642,1.499482196,3.5080727e-7
1664,1.499196879,4.0038727e-7
1686,1.498909211,4.4996727e-7
1708,1.498619104,4.9954727e-7
1730,1.498326472,5.4912727e-7
1752,1.498031236,5.9870727e-7
1774,1.497733318,6.4828727e-7
1796,1.497432645,6.9786727e-7
1818,1.497129146,7.4744727e-7
1840,1.496822753,7.9702727e-7
1862,1.4965134,8.4660727e-7
1884,1.496201026,8.9618727e-7
1906,1.495885568,9.4576727e-7
1928,1.495566968,9.9534727e-7
1950,1.49524517,1.0449273e-6
1972,1.494920117,1.1080282e-6
1994,1.494591757,1.306338e-6
2016,1.494260036,1.5046479e-6
2038,1.493924904,1.7029577e-6
2060,1.49358631,1.9012676e-6
2082,1.493244207,2.0995775e-6
2104,1.492898546,2.2978873e-6
2126,1.49254928,2.4961972e-6
2148,1.492196363,2.694507e-6
2170,1.49183975,2.8928169e-6
2192,1.491479396,3.0911268e-6
2214,1.491115257,3.2894366e-6
2236,1.490747289,3.4877465e-6
2258,1.49037545,3.6860563e-6
2280,1.489999697,3.8843662e-6
2302,1.489619988,4.0826761e-6
2324,1.48923628,4.2809859e-6
2346,1.488848531,0.0000047508
2368,1.488456702,5.2335429e-6
2390,1.488060749,5.7162857e-6
2412,1.487660633,6.1990286e-6
2434,1.487256312,6.6817714e-6
2456,1.486847745,7.1645143e-6
2478,1.486434891,7.6472571e-6
2500,1.48601771,0.00000813
