wv,n,k
310,1.553923347,0.00005
352.9,1.544418816,9.5238e-7
395.8,1.537794371,2.3776e-7
438.7,1.532976444,2.3478e-7
481.6,1.529347097,1.6592e-7
524.5,1.52653023,1.6655e-7
567.4,1.524286299,2.9148e-7
610.3,1.522456865,5.2425e-7
653.2,1.520933742,8.6068e-7
696.1,1.519641015,1.2027e-6
739,1.518524145,1.698e-6
781.9,1.517543129,2.2366e-6
824.8,1.516668089,2.8224e-6
867.7,1.515876346,3.3624e-6
910.6,1.515150433,3.8254e-6
953.5,1.514476723,4.2015e-6
996.4,1.513844457,4.5612e-6
1039,1.513249144,4.7928e-6
1082,1.512674206,5.0164e-6
1125,1.512119704,5.175e-6
1168,1.511580989,5.2868e-6
1211,1.511054227,5.3678e-6
1254,1.510536226,5.3592e-6
1297,1.510024316,5.3506e-6
1340,1.509516248,5.186e-6
1383,1.509010118,5.0097e-6
1425,1.508516073,4.7625e-6
1468,1.508009224,4.4572e-6
1511,1.507500133,4.1695e-6
1554,1.506987768,3.933e-6
1597,1.50647123,3.6965e-6
1640,1.505949739,3.672e-6
1683,1.505422612,3.6634e-6
1726,1.504889251,3.7276e-6
1769,1.504349128,3.8394e-6
1812,1.503801779,3.9524e-6
1854,1.503259789,4.0658e-6
1897,1.502696989,4.1819e-6
1940,1.502125867,4.282e-6
1983,1.501546132,4.3809e-6
2026,1.500957522,4.4356e-6
2069,1.500359805,4.4614e-6
2112,1.499752769,4.5868e-6
2155,1.499136224,4.9695e-6
2198,1.49851,5.3522e-6
2241,1.497873941,5.2511e-6
2283,1.497243046,5.1293e-6
2326,1.496587146,5.1554e-6
2369,1.495921029,5.2801e-6
2412,1.495244589,5.484e-6
2455,1.49455773,5.8925e-6
2498,1.493860363,6.301e-6
2541,1.493152406,6.5496e-6
2584,1.492433785,6.7904e-6
2627,1.491704431,7.7764e-6
2670,1.490964282,9.204e-6
2712,1.490230868,1.6776e-5
2755,1.489469212,4.034e-5
2798,1.4886966,0.0000639
2841,1.487912987,7.0863e-5
2884,1.48711833,7.7012e-5
2927,1.486312589,7.795e-5
2970,1.485495728,0.0000758
3013,1.484667714,7.4287e-5
3056,1.483828514,7.4244e-5
3099,1.4829781,0.0000742
3141,1.482136609,7.7357e-5
3184,1.481263947,8.0668e-5
3227,1.480379993,0.000085
3270,1.479484726,8.995e-5
3313,1.478578125,0.0000942
3356,1.477660169,9.6872e-5
3399,1.476730841,9.9538e-5
3442,1.475790124,0.0001027
3485,1.474838001,0.0001059
3528,1.473874457,0.000107
3570,1.472922281,0.000107
3613,1.47193612,0.0001067
3656,1.470938498,0.0001059
3699,1.469929402,0.000105
3742,1.468908823,0.0001042
3785,1.467876749,0.0001033
3828,1.46683317,0.000103
3871,1.465778077,0.000103
3914,1.46471146,0.0001034
3957,1.463633313,0.0001047
3999,1.462569098,0.000106
4042,1.461468132,0.0001127
4085,1.460355611,0.0001196
4128,1.45923153,0.0001282
4171,1.458095881,0.0001376
4214,1.456948658,0.0001488
4257,1.455789855,0.0001634
4300,1.454619468,0.000178
4343,1.45343749,0.0001982
4386,1.452243917,0.0002184
4428,1.451066903,0.0002454
4471,1.449850395,0.0002768
4514,1.448622277,0.0003604
4557,1.447382547,0.0005522
4600,1.4461312,0.000744
