wv,n,k
245.654739,1.851402,0
247.251556,1.84995,0
248.848419,1.848532,0
250.445267,1.847145,0
252.04216,1.845789,0
253.639084,1.844463,0
255.236008,1.843166,0
256.832977,1.841897,0
258.429962,1.840655,0
260.026947,1.83944,0
261.623962,1.83825,0
263.221008,1.837085,0
264.818054,1.835945,0
266.415131,1.834827,0
268.012238,1.833733,0
269.609344,1.832661,0
271.206482,1.831611,0
272.80365,1.830581,0
274.400818,1.829572,0
275.997986,1.828583,0
277.595184,1.827613,0
279.192413,1.826662,0
280.789612,1.825729,0
282.386902,1.824814,0
283.984161,1.823916,0
285.581421,1.823035,0
287.178711,1.822171,0
288.776031,1.821323,0
290.373352,1.82049,0
291.970673,1.819673,0
293.568054,1.81887,0
295.165405,1.818082,0
296.762756,1.817308,0
298.360168,1.816548,0
299.957581,1.815801,0
301.554993,1.815067,0
303.152405,1.814346,0
304.749817,1.813638,0
306.34726,1.812942,0
307.944733,1.812257,0
309.542175,1.811584,0
311.139679,1.810923,0
312.737152,1.810273,0
314.334656,1.809633,0
315.932159,1.809004,0
317.529663,1.808386,0
319.127167,1.807777,0
320.724701,1.807179,0
322.322235,1.80659,0
323.919769,1.80601,0
325.517303,1.80544,0
327.114868,1.804879,0
328.712433,1.804326,0
330.309998,1.803782,0
331.907562,1.803247,0
333.505127,1.80272,0
335.102722,1.802201,0
336.700287,1.80169,0
338.297882,1.801187,0
339.895477,1.800691,0
341.493073,1.800203,0
343.090668,1.799722,0
344.688263,1.799248,0
346.285858,1.798781,0
347.883484,1.798321,0
349.481079,1.797868,0
351.078674,1.797421,0
352.67627,1.796981,0
354.273865,1.796547,0
355.87149,1.796119,0
357.469086,1.795698,0
359.066711,1.795282,0
360.664307,1.794872,0
362.261902,1.794468,0
363.859528,1.794069,0
365.457092,1.793676,0
367.054718,1.793288,0
368.652283,1.792906,0
370.249908,1.792529,0
371.847473,1.792156,0
373.445068,1.791789,0
375.042664,1.791427,0
376.640228,1.791069,0
378.237793,1.790717,0
379.835358,1.790369,0
381.432922,1.790025,0
383.030457,1.789686,0
384.628021,1.789351,0
386.225555,1.789021,0
387.82309,1.788695,0
389.420624,1.788372,0
391.018158,1.788054,0
392.615662,1.787741,0
394.213196,1.787431,0
395.810669,1.787124,0
397.408173,1.786822,0
399.005646,1.786523,0
400.603119,1.786228,0
402.200592,1.785937,0
403.798035,1.785649,0
405.395447,1.785365,0
406.992889,1.785084,0
408.590302,1.784806,0
410.187744,1.784532,0
411.785095,1.784261,0
413.382507,1.783993,0
414.979889,1.783729,0
416.57724,1.783467,0
418.174561,1.783209,0
419.771912,1.782953,0
421.369232,1.782701,0
422.966492,1.782451,0
424.563812,1.782204,0
426.161072,1.78196,0
427.758362,1.781719,0
429.35556,1.78148,0
430.95282,1.781244,0
432.550049,1.781011,0
434.147217,1.78078,0
435.744385,1.780552,0
437.341553,1.780327,0
438.938721,1.780104,0
440.535828,1.779883,0
442.132904,1.779664,0
443.730042,1.779448,0
445.327087,1.779235,0
446.924133,1.779023,0
448.521149,1.778814,0
450.118164,1.778607,0
451.715179,1.778402,0
453.312103,1.7782,0
454.909088,1.777999,0
456.506012,1.777801,0
458.102936,1.777604,0
459.699799,1.77741,0
461.296631,1.777217,0
462.893494,1.777027,0
464.490295,1.776838,0
466.087097,1.776652,0
467.683899,1.776467,0
469.280609,1.776284,0
470.87735,1.776103,0
472.47403,1.775924,0
474.070709,1.775746,0
475.667328,1.77557,0
477.263977,1.775396,0
478.860535,1.775224,0
480.457123,1.775053,0
482.05365,1.774884,0
483.650146,1.774717,0
485.246643,1.774551,0
486.843109,1.774387,0
488.439514,1.774224,0
490.03595,1.774063,0
491.632263,1.773903,0
493.228607,1.773745,0
494.824951,1.773588,0
496.421234,1.773433,0
498.017487,1.773279,0
499.613708,1.773126,0
501.2099,1.772975,0
502.806061,1.772826,0
504.402191,1.772677,0
505.998291,1.77253,0
507.59433,1.772385,0
509.190369,1.77224,0
510.786377,1.772097,0
512.382324,1.771955,0
513.978271,1.771815,0
515.574158,1.771675,0
517.170044,1.771537,0
518.765869,1.7714,0
520.361694,1.771264,0
521.957397,1.77113,0
523.553101,1.770996,0
525.148804,1.770864,0
526.744507,1.770733,0
528.340088,1.770602,0
529.935669,1.770473,0
531.531189,1.770346,0
533.126709,1.770219,0
534.722168,1.770093,0
536.317566,1.769968,0
537.912964,1.769844,0
539.508301,1.769722,0
541.103638,1.7696,0
542.698853,1.769479,0
544.294128,1.769359,0
545.889282,1.76924,0
547.484497,1.769122,0
549.07959,1.769006,0
550.674622,1.768889,0
552.269653,1.768774,0
553.864624,1.76866,0
555.459595,1.768547,0
557.054504,1.768434,0
558.649292,1.768323,0
560.244141,1.768212,0
561.838928,1.768102,0
563.433655,1.767993,0
565.02832,1.767885,0
566.622925,1.767778,0
568.217529,1.767671,0
569.812073,1.767565,0
571.406555,1.76746,0
573.000977,1.767356,0
574.595398,1.767253,0
576.189758,1.76715,0
577.784058,1.767048,0
579.378296,1.766947,0
580.972534,1.766846,0
582.566711,1.766747,0
584.160828,1.766648,0
585.754883,1.766549,0
587.348938,1.766452,0
588.942871,1.766355,0
590.536804,1.766259,0
592.130676,1.766163,0
593.724487,1.766068,0
595.318237,1.765974,0
596.911987,1.76588,0
598.505615,1.765787,0
600.099243,1.765695,0
601.69281,1.765604,0
603.286316,1.765512,0
604.879761,1.765422,0
606.473145,1.765332,0
608.066528,1.765243,0
609.65979,1.765154,0
611.253052,1.765066,0
612.846252,1.764979,0
614.439331,1.764892,0
616.03241,1.764806,0
617.625427,1.76472,0
619.218384,1.764635,0
620.81134,1.76455,0
622.404175,1.764466,0
