wv,n,k
300.130859,1.493097,0
301.72937,1.492648,0
303.327881,1.492207,0
304.926361,1.491774,0
306.524841,1.491349,0
308.123352,1.490931,0
309.721863,1.49052,0
311.320343,1.490117,0
312.918793,1.489721,0
314.517273,1.489332,0
316.115753,1.488949,0
317.714203,1.488573,0
319.312653,1.488204,0
320.911102,1.48784,0
322.509552,1.487483,0
324.107971,1.487132,0
325.70639,1.486786,0
327.30484,1.486447,0
328.903229,1.486112,0
330.501648,1.485784,0
332.100037,1.48546,0
333.698425,1.485142,0
335.296783,1.484829,0
336.895142,1.48452,0
338.493469,1.484217,0
340.091827,1.483918,0
341.690125,1.483624,0
343.288452,1.483335,0
344.88678,1.48305,0
346.485046,1.482769,0
348.083313,1.482493,0
349.68158,1.482221,0
351.279846,1.481953,0
352.878082,1.481688,0
354.476288,1.481428,0
356.074493,1.481172,0
357.672668,1.480919,0
359.270844,1.48067,0
360.869019,1.480425,0
362.467163,1.480183,0
364.065277,1.479945,0
365.663391,1.47971,0
367.261475,1.479478,0
368.859558,1.47925,0
370.457581,1.479025,0
372.055603,1.478803,0
373.653625,1.478584,0
375.251617,1.478369,0
376.849579,1.478155,0
378.447571,1.477946,0
380.045471,1.477738,0
381.643372,1.477534,0
383.241272,1.477332,0
384.839142,1.477134,0
386.436981,1.476937,0
388.034821,1.476744,0
389.632629,1.476553,0
391.230377,1.476364,0
392.828125,1.476178,0
394.425842,1.475994,0
396.02356,1.475813,0
397.621246,1.475634,0
399.218903,1.475457,0
400.816498,1.475282,0
402.414124,1.47511,0
404.011688,1.47494,0
405.609222,1.474772,0
407.206726,1.474606,0
408.80426,1.474442,0
410.401703,1.47428,0
411.999115,1.47412,0
413.596527,1.473962,0
415.193909,1.473807,0
416.79126,1.473652,0
418.38858,1.4735,0
419.985901,1.473349,0
421.583099,1.473201,0
423.180328,1.473054,0
424.777527,1.472909,0
426.374695,1.472765,0
427.971832,1.472623,0
429.568909,1.472484,0
431.165955,1.472345,0
432.763,1.472208,0
434.360016,1.472073,0
435.95697,1.471939,0
437.553894,1.471807,0
439.150787,1.471676,0
440.74765,1.471546,0
442.344421,1.471418,0
443.941254,1.471292,0
445.537994,1.471167,0
447.134705,1.471043,0
448.731354,1.470921,0
450.328033,1.4708,0
451.924622,1.47068,0
453.521149,1.470562,0
455.117676,1.470445,0
456.714172,1.470329,0
458.310608,1.470214,0
459.906982,1.470101,0
461.503357,1.469989,0
463.09967,1.469878,0
464.695953,1.469768,0
466.292175,1.469659,0
467.888367,1.469552,0
469.484528,1.469445,0
471.080658,1.46934,0
472.676697,1.469236,0
474.272766,1.469132,0
475.868744,1.46903,0
477.464661,1.468929,0
479.060547,1.468829,0
480.656403,1.46873,0
482.252197,1.468632,0
483.847961,1.468535,0
485.443665,1.468439,0
487.039307,1.468344,0
488.634949,1.468249,0
490.23053,1.468156,0
491.826019,1.468063,0
493.421478,1.467972,0
495.016937,1.467881,0
496.612305,1.467791,0
498.207611,1.467703,0
499.802917,1.467614,0
501.398132,1.467527,0
502.993317,1.467441,0
504.58844,1.467355,0
506.183502,1.46727,0
507.778503,1.467186,0
509.373474,1.467103,0
510.968414,1.467021,0
512.563293,1.466939,0
514.158081,1.466858,0
515.752869,1.466778,0
517.347534,1.466698,0
518.942261,1.46662,0
520.536804,1.466542,0
522.131348,1.466464,0
523.725891,1.466388,0
525.320251,1.466312,0
526.914673,1.466236,0
528.508972,1.466162,0
530.10321,1.466088,0
531.697449,1.466014,0
533.291626,1.465942,0
534.885681,1.465869,0
536.479736,1.465798,0
538.073669,1.465727,0
539.667603,1.465657,0
541.261475,1.465587,0
542.855286,1.465518,0
544.448975,1.46545,0
546.042664,1.465382,0
547.636292,1.465315,0
549.229858,1.465248,0
550.823364,1.465182,0
552.416748,1.465116,0
554.010132,1.465051,0
555.603394,1.464986,0
557.196655,1.464922,0
558.789856,1.464859,0
560.382935,1.464796,0
561.975952,1.464733,0
563.56897,1.464671,0
565.161865,1.46461,0
566.754761,1.464549,0
568.347534,1.464489,0
569.940247,1.464429,0
571.532837,1.464369,0
573.125427,1.46431,0
574.717957,1.464251,0
576.310425,1.464193,0
577.902832,1.464135,0
579.495117,1.464078,0
581.087341,1.464021,0
582.679565,1.463965,0
584.271606,1.463909,0
585.863647,1.463853,0
587.455627,1.463798,0
589.047485,1.463743,0
590.639343,1.463689,0
592.231079,1.463635,0
593.822754,1.463582,0
595.414368,1.463529,0
597.00592,1.463476,0
598.597351,1.463424,0
600.188782,1.463372,0
601.78009,1.46332,0
603.371277,1.463269,0
604.962463,1.463218,0
606.553528,1.463168,0
608.144531,1.463118,0
609.735474,1.463068,0
611.326294,1.463019,0
612.917114,1.46297,0
614.507813,1.462921,0
616.09845,1.462873,0
617.689026,1.462825,0
619.27948,1.462777,0
620.869873,1.462729,0
622.460144,1.462682,0
624.050415,1.462636,0
625.640564,1.462589,0
627.230591,1.462543,0
628.820618,1.462498,0
630.410522,1.462452,0
632.000366,1.462407,0
633.590149,1.462362,0
635.17981,1.462318,0
636.769409,1.462274,0
638.358887,1.46223,0
639.948303,1.462186,0
641.537598,1.462143,0
643.126831,1.462099,0
644.716003,1.462057,0
646.305115,1.462014,0
647.894104,1.461972,0
649.483032,1.46193,0
651.071899,1.461888,0
652.660583,1.461847,0
654.249207,1.461806,0
655.837769,1.461765,0
657.42627,1.461724,0
659.014709,1.461684,0
660.602966,1.461643,0
662.191223,1.461604,0
663.779297,1.461564,0
665.36731,1.461524,0
666.955261,1.461485,0
668.543152,1.461446,0
670.13092,1.461408,0
671.718628,1.461369,0
673.306152,1.461331,0
674.893677,1.461293,0
676.481079,1.461255,0
678.068359,1.461218,0
679.655579,1.46118,0
681.242676,1.461143,0
682.829712,1.461106,0
684.416626,1.46107,0
686.00354,1.461033,0
687.59021,1.460997,0
689.17688,1.460961,0
690.763428,1.460925,0
692.349915,1.460889,0
693.936279,1.460854,0
695.522522,1.460819,0
697.108704,1.460784,0
698.694763,1.460749,0
700.280701,1.460714,0
701.866577,1.46068,0
703.452393,1.460645,0
705.038025,1.460611,0
706.623657,1.460577,0
708.209106,1.460544,0
709.794495,1.46051,0
711.379761,1.460477,0
712.964966,1.460444,0
714.549988,1.460411,0
716.13501,1.460378,0
717.719849,1.460345,0
719.304626,1.460313,0
720.889282,1.460281,0
722.473877,1.460248,0
724.058289,1.460216,0
725.6427,1.460185,0
727.226929,1.460153,0
728.811096,1.460122,0
730.395142,1.46009,0
731.979065,1.460059,0
733.562866,1.460028,0
735.146606,1.459997,0
736.730225,1.459967,0
738.313721,1.459936,0
739.897156,1.459906,0
741.480408,1.459876,0
743.063599,1.459846,0
744.646729,1.459816,0
746.229675,1.459786,0
747.812561,1.459756,0
749.395325,1.459727,0
750.977905,1.459697,0
752.560425,1.459668,0
754.142883,1.459639,0
755.72522,1.45961,0
757.307373,1.459581,0
758.889526,1.459553,0
760.471436,1.459524,0
762.053345,1.459496,0
763.635071,1.459468,0
765.216675,1.45944,0
766.798218,1.459412,0
768.379639,1.459384,0
769.960938,1.459356,0
771.542114,1.459329,0
773.123169,1.459301,0
774.704102,1.459274,0
776.284912,1.459246,0
777.865601,1.459219,0
779.446228,1.459192,0
781.026733,1.459165,0
782.607056,1.459139,0
784.187317,1.459112,0
785.767456,1.459086,0
787.347473,1.459059,0
788.927368,1.459033,0
790.507141,1.459007,0
792.086792,1.458981,0
793.666321,1.458955,0
795.245728,1.458929,0
796.825012,1.458903,0
798.404175,1.458878,0
799.983215,1.458852,0
801.562134,1.458827,0
803.14093,1.458801,0
804.719604,1.458776,0
806.298157,1.458751,0
807.876587,1.458726,0
809.454834,1.458701,0
811.033081,1.458676,0
812.611084,1.458652,0
814.189026,1.458627,0
815.766785,1.458602,0
817.344482,1.458578,0
818.922058,1.458554,0
820.499512,1.458529,0
