wv,n,k
300.130859,1.610048,0.037983
301.72937,1.608981,0.036949
303.327881,1.607911,0.035917
304.926361,1.606814,0.035055
306.524841,1.605706,0.034365
308.123352,1.6046,0.033816
309.721863,1.603517,0.033374
311.320343,1.602462,0.033002
312.918793,1.601508,0.032433
314.517273,1.600595,0.031829
316.115753,1.59971,0.031243
317.714203,1.598838,0.030684
319.312653,1.597984,0.030171
320.911102,1.597157,0.029704
322.509552,1.596355,0.029276
324.107971,1.595581,0.028879
325.70639,1.594837,0.028513
327.30484,1.594127,0.0281
328.903229,1.593402,0.0301
330.501648,1.592738,0.027705
332.100037,1.592129,0.027295
333.698425,1.591521,0.027062
335.296783,1.590943,0.026857
336.895142,1.590375,0.026661
338.493469,1.58983,0.026462
340.091827,1.5893,0.026247
341.690125,1.588759,0.025807
343.288452,1.588225,0.025336
344.88678,1.587708,0.02491
346.485046,1.587218,0.024554
348.083313,1.586767,0.024288
349.68158,1.586367,0.024128
351.279846,1.586024,0.024071
352.878082,1.585656,0.023992
354.476288,1.585216,0.023632
356.074493,1.584718,0.023077
357.672668,1.584282,0.022671
359.270844,1.583935,0.022449
360.869019,1.583693,0.022411
362.467163,1.583421,0.022371
364.065277,1.582954,0.021858
365.663391,1.582492,0.021342
367.261475,1.582165,0.021078
368.859558,1.581998,0.021062
370.457581,1.581767,0.021014
372.055603,1.581226,0.020354
373.653625,1.580834,0.019948
375.251617,1.580658,0.01986
376.849579,1.580516,0.019868
378.447571,1.579988,0.019263
380.045471,1.579593,0.018852
381.643372,1.579481,0.018802
383.241272,1.579306,0.018735
384.839142,1.578724,0.018077
386.436981,1.578445,0.017809
388.034821,1.578412,0.017848
389.632629,1.577938,0.017374
391.230377,1.577519,0.016946
392.828125,1.577485,0.016935
394.425842,1.577155,0.01665
396.02356,1.576645,0.016139
397.621246,1.576591,0.016083
399.218903,1.576324,0.01587
400.816498,1.575785,0.01535
402.414124,1.575755,0.015302
404.011688,1.575437,0.015041
405.609222,1.574937,0.01458
407.206726,1.57496,0.01458
408.80426,1.574499,0.014191
410.401703,1.574128,0.013854
411.999115,1.574186,0.013891
413.596527,1.573557,0.013365
415.193909,1.573408,0.013208
416.79126,1.573241,0.013075
418.38858,1.572688,0.012623
419.985901,1.572756,0.012636
421.583099,1.572185,0.012203
423.180328,1.571995,0.012021
424.777527,1.571841,0.011897
426.374695,1.571306,0.011492
427.971832,1.571401,0.011517
429.568909,1.570756,0.011063
431.165955,1.570735,0.010991
432.763,1.570309,0.010706
434.360016,1.570027,0.010481
435.95697,1.569921,0.01039
437.553894,1.569394,0.010031
439.150787,1.569503,0.010057
440.74765,1.568826,0.009629
442.344421,1.568918,0.00963
443.941254,1.568303,0.00926
445.537994,1.568321,0.009211
