wv,n,k
245.654739,1,0
247.251556,1,0
248.848419,1,0
250.445267,1,0
252.04216,1,0
253.639084,1,0
255.236008,1,0
256.832977,1,0
258.429962,1,0
260.026947,1,0
261.623962,1,0
263.221008,1,0
264.818054,1,0
266.415131,1,0
268.012238,1,0
269.609344,1,0
271.206482,1,0
272.80365,1,0
274.400818,1,0
275.997986,1,0
277.595184,1,0
279.192413,1,0
280.789612,1,0
282.386902,1,0
283.984161,1,0
285.581421,1,0
287.178711,1,0
288.776031,1,0
290.373352,1,0
291.970673,1,0
293.568054,1,0
295.165405,1,0
296.762756,1,0
298.360168,1,0
299.957581,1,0
301.554993,1,0
303.152405,1,0
304.749817,1,0
306.34726,1,0
307.944733,1,0
309.542175,1,0
311.139679,1,0
312.737152,1,0
314.334656,1,0
315.932159,1,0
317.529663,1,0
319.127167,1,0
320.724701,1,0
322.322235,1,0
323.919769,1,0
325.517303,1,0
327.114868,1,0
328.712433,1,0
330.309998,1,0
331.907562,1,0
333.505127,1,0
335.102722,1,0
336.700287,1,0
338.297882,1,0
339.895477,1,0
341.493073,1,0
343.090668,1,0
344.688263,1,0
346.285858,1,0
347.883484,1,0
349.481079,1,0
351.078674,1,0
352.67627,1,0
354.273865,1,0
355.87149,1,0
357.469086,1,0
359.066711,1,0
360.664307,1,0
362.261902,1,0
363.859528,1,0
365.457092,1,0
367.054718,1,0
368.652283,1,0
370.249908,1,0
371.847473,1,0
373.445068,1,0
375.042664,1,0
376.640228,1,0
378.237793,1,0
379.835358,1,0
381.432922,1,0
383.030457,1,0
384.628021,1,0
386.225555,1,0
387.82309,1,0
389.420624,1,0
391.018158,1,0
392.615662,1,0
394.213196,1,0
395.810669,1,0
397.408173,1,0
399.005646,1,0
400.603119,1,0
402.200592,1,0
403.798035,1,0
405.395447,1,0
406.992889,1,0
408.590302,1,0
410.187744,1,0
411.785095,1,0
413.382507,1,0
414.979889,1,0
416.57724,1,0
418.174561,1,0
419.771912,1,0
421.369232,1,0
422.966492,1,0
424.563812,1,0
426.161072,1,0
427.758362,1,0
429.35556,1,0
430.95282,1,0
432.550049,1,0
434.147217,1,0
435.744385,1,0
437.341553,1,0
438.938721,1,0
440.535828,1,0
442.132904,1,0
443.730042,1,0
445.327087,1,0
446.924133,1,0
448.521149,1,0
450.118164,1,0
451.715179,1,0
453.312103,1,0
454.909088,1,0
456.506012,1,0
458.102936,1,0
459.699799,1,0
461.296631,1,0
462.893494,1,0
464.490295,1,0
466.087097,1,0
467.683899,1,0
469.280609,1,0
470.87735,1,0
472.47403,1,0
474.070709,1,0
475.667328,1,0
477.263977,1,0
478.860535,1,0
480.457123,1,0
482.05365,1,0
483.650146,1,0
485.246643,1,0
486.843109,1,0
488.439514,1,0
490.03595,1,0
491.632263,1,0
493.228607,1,0
494.824951,1,0
496.421234,1,0
498.017487,1,0
499.613708,1,0
501.2099,1,0
502.806061,1,0
504.402191,1,0
505.998291,1,0
