wv,n,k
245.654739,1.787534,2.159374
247.251556,1.882781,2.195192
248.848419,1.98941,2.210487
250.445267,2.077127,2.215801
252.04216,2.152993,2.210843
253.639084,2.231819,2.201745
255.236008,2.316385,2.187756
256.832977,2.40114,2.167588
258.429962,2.491069,2.125439
260.026947,2.553,2.089803
261.623962,2.615863,2.047005
263.221008,2.675442,1.998625
264.818054,2.709169,1.964563
266.415131,2.761524,1.906479
268.012238,2.804928,1.859599
269.609344,2.826029,1.800628
271.206482,2.848492,1.747613
272.80365,2.875959,1.690283
274.400818,2.88942,1.64298
275.997986,2.913533,1.593853
277.595184,2.917366,1.550235
279.192413,2.914015,1.502229
280.789612,2.914687,1.462669
282.386902,2.913286,1.426722
283.984161,2.911021,1.392342
285.581421,2.907337,1.364019
287.178711,2.903832,1.335592
288.776031,2.900522,1.306926
290.373352,2.897423,1.278103
291.970673,2.89372,1.255393
293.568054,2.890001,1.233611
295.165405,2.886399,1.211724
296.762756,2.879781,1.192651
298.360168,2.871144,1.175389
299.957581,2.863317,1.158544
301.554993,2.857469,1.142936
303.152405,2.851662,1.127247
304.749817,2.845899,1.111477
306.34726,2.841366,1.099425
307.944733,2.837077,1.088032
309.542175,2.832812,1.076596
311.139679,2.828459,1.065247
312.737152,2.823911,1.05411
314.334656,2.819384,1.04293
315.932159,2.814878,1.031705
317.529663,2.811124,1.021251
319.127167,2.807917,1.011349
320.724701,2.80473,1.001417
322.322235,2.801564,0.991454
323.919769,2.79842,0.981462
325.517303,2.795297,0.971439
327.114868,2.792639,0.962346
328.712433,2.791254,0.95597
330.309998,2.78988,0.949584
331.907562,2.788517,0.943188
333.505127,2.787164,0.936782
335.102722,2.785084,0.929581
336.700287,2.782913,0.922255
338.297882,2.780755,0.914914
339.895477,2.778609,0.907557
341.493073,2.776553,0.899767
343.090668,2.774749,0.890677
344.688263,2.772968,0.881569
346.285858,2.771209,0.872441
347.883484,2.769475,0.863295
349.481079,2.767763,0.85413
351.078674,2.766824,0.847321
352.67627,2.766511,0.842447
354.273865,2.766205,0.83757
355.87149,2.765907,0.832689
357.469086,2.765616,0.827806
359.066711,2.765332,0.822918
360.664307,2.765057,0.818028
362.261902,2.764745,0.812803
363.859528,2.76443,0.807485
365.457092,2.764124,0.802164
367.054718,2.763827,0.796839
368.652283,2.76354,0.79151
370.249908,2.763261,0.786178
371.847473,2.763,0.780895
373.445068,2.76299,0.777347
375.042664,2.762985,0.773798
376.640228,2.762983,0.770249
378.237793,2.762986,0.766698
379.835358,2.762994,0.763145
381.432922,2.762934,0.759261
383.030457,2.762771,0.754869
384.628021,2.762615,0.750476
386.225555,2.762465,0.74608
387.82309,2.762321,0.741682
389.420624,2.762185,0.737282
391.018158,2.762054,0.73288
392.615662,2.761993,0.728925
394.213196,2.761984,0.725304
395.810669,2.76198,0.721682
397.408173,2.76198,0.718059
399.005646,2.761985,0.714434
400.603119,2.761994,0.710809
402.200592,2.762164,0.707212
403.798035,2.762496,0.703644
405.395447,2.762831,0.700075
406.992889,2.763171,0.696506
408.590302,2.763516,0.692937
410.187744,2.763865,0.689368
411.785095,2.76386,0.686223
413.382507,2.763635,0.68334
414.979889,2.763413,0.680456
416.57724,2.763193,0.677571
418.174561,2.763012,0.674643
419.771912,2.763125,0.671375
421.369232,2.763242,0.668106
422.966492,2.763363,0.664837
424.563812,2.763487,0.661567
426.161072,2.763616,0.658297
427.758362,2.763747,0.655026
429.35556,2.763883,0.651754
430.95282,2.764202,0.648592
432.550049,2.765483,0.646018
434.147217,2.766766,0.643446
435.744385,2.768051,0.640876
437.341553,2.769338,0.638307
438.938721,2.770627,0.635741
440.535828,2.771218,0.633218
442.132904,2.771527,0.630713
443.730042,2.771838,0.628208
445.327087,2.772151,0.625702
446.924133,2.772466,0.623197
448.521149,2.772784,0.620692
450.118164,2.773263,0.618122
451.715179,2.774076,0.615418
453.312103,2.774892,0.612715
454.909088,2.77571,0.610013
456.506012,2.776531,0.607311
458.102936,2.777354,0.604611
459.699799,2.77818,0.601912
461.296631,2.779009,0.599214
462.893494,2.77984,0.596518
464.490295,2.780437,0.594858
466.087097,2.780977,0.593444
467.683899,2.781519,0.592031
469.280609,2.782061,0.590618
470.87735,2.782604,0.589206
472.47403,2.783148,0.587794
474.070709,2.783692,0.586383
475.667328,2.784237,0.584972
477.263977,2.784783,0.583562
478.860535,2.785598,0.581229
480.457123,2.786594,0.578286
482.05365,2.787593,0.575345
483.650146,2.788595,0.572405
485.246643,2.789601,0.569467
486.843109,2.790609,0.566531
488.439514,2.79162,0.563596
490.03595,2.792634,0.560662
491.632263,2.793652,0.55773
493.228607,2.794672,0.5548
494.824951,2.795695,0.551871
496.421234,2.796437,0.548993
498.017487,2.797061,0.546136
499.613708,2.797688,0.54328
501.2099,2.798317,0.540425
502.806061,2.79895,0.53757
504.402191,2.799586,0.534717
505.998291,2.800224,0.531864
507.59433,2.800866,0.529012
509.190369,2.80151,0.52616
510.786377,2.802265,0.523519
512.382324,2.803361,0.521533
513.978271,2.804459,0.519548
515.574158,2.805557,0.517564
517.170044,2.806657,0.515582
518.765869,2.807757,0.513601
520.361694,2.808859,0.511622
521.957397,2.809963,0.509644
523.553101,2.811067,0.507667
525.148804,2.812196,0.505721
526.744507,2.813453,0.503931
528.340088,2.81471,0.502142
529.935669,2.815968,0.500355
531.531189,2.817227,0.49857
533.126709,2.818487,0.496786
534.722168,2.819748,0.495003
536.317566,2.821009,0.493222
537.912964,2.822272,0.491442
539.508301,2.823535,0.489664
541.103638,2.824798,0.487888
542.698853,2.826063,0.486113
544.294128,2.827328,0.484339
545.889282,2.828594,0.482567
547.484497,2.830543,0.479254
549.07959,2.832815,0.475219
550.674622,2.835093,0.47119
552.269653,2.837376,0.467167
553.864624,2.839663,0.463149
555.459595,2.841955,0.459138
557.054504,2.844252,0.455132
558.649292,2.846553,0.451132
560.244141,2.848859,0.447138
561.838928,2.85117,0.44315
563.433655,2.853617,0.438156
565.02832,2.856584,0.429353
566.622925,2.859577,0.420564
568.217529,2.862595,0.41179
569.812073,2.865639,0.403031
571.406555,2.874624,0.411107
573.000977,2.884393,0.421365
574.595398,2.883418,0.417602
576.189758,2.881737,0.412906
577.784058,2.880062,0.408204
579.378296,2.878392,0.403497
580.972534,2.876729,0.398783
582.566711,2.875071,0.394063
584.160828,2.87313,0.389091
585.754883,2.870663,0.383657
587.348938,2.868202,0.378214
588.942871,2.865749,0.37276
590.536804,2.863302,0.367297
592.130676,2.860862,0.361823
593.724487,2.85843,0.356339
595.318237,2.856005,0.350845
596.911987,2.853587,0.345342
598.505615,2.851778,0.341512
600.099243,2.850165,0.338219
601.69281,2.848555,0.334923
603.286316,2.846947,0.331622
604.879761,2.845342,0.328318
606.473145,2.843739,0.32501
608.066528,2.842139,0.321698
609.65979,2.840541,0.318382
611.253052,2.838946,0.315062
612.846252,2.837353,0.311739
614.439331,2.836879,0.309435
616.03241,2.836726,0.307424
617.625427,2.836574,0.305412
619.218384,2.836423,0.3034
620.81134,2.836273,0.301388
622.404175,2.836125,0.299375
623.996948,2.835979,0.297362
625.589722,2.835834,0.295349
627.182373,2.83569,0.293335
628.775024,2.835547,0.291322
630.367554,2.835406,0.289308
631.960083,2.835266,0.287293
633.55249,2.835128,0.285279
635.144897,2.834991,0.283264
636.737183,2.834856,0.281249
638.329468,2.834722,0.279233
639.921692,2.834589,0.277218
641.513794,2.834458,0.275202
643.105835,2.834328,0.273186
644.697876,2.834199,0.27117
646.289856,2.834072,0.269153
647.881714,2.834721,0.268051
649.473572,2.836404,0.268171
651.065308,2.838086,0.268291
652.657104,2.839767,0.268411
654.248657,2.841447,0.268531
655.840271,2.843125,0.268651
657.431763,2.844803,0.268771
659.023254,2.84648,0.268891
660.614624,2.848155,0.26901
662.205933,2.84983,0.26913
663.797241,2.851503,0.269249
665.388367,2.853175,0.269369
666.979492,2.854847,0.269488
668.570557,2.856517,0.269608
670.16156,2.858186,0.269727
671.752502,2.859854,0.269847
673.343323,2.861521,0.269966
674.934143,2.860475,0.268405
676.524841,2.858336,0.266165
678.115479,2.856197,0.263922
679.706055,2.854058,0.261676
681.29657,2.851919,0.259426
682.887024,2.84978,0.257174
684.477417,2.847641,0.254917
686.067688,2.845502,0.252658
687.657898,2.843363,0.250395
689.248108,2.841223,0.248129
690.838196,2.839084,0.24586
692.428162,2.836945,0.243588
694.018127,2.834806,0.241312
695.608032,2.832667,0.239032
697.197815,2.830528,0.23675
698.787476,2.828389,0.234464
700.377136,2.82625,0.232175
701.966736,2.824111,0.229882
703.556274,2.821972,0.227586
705.14563,2.819833,0.225287
706.734985,2.817694,0.222984
708.324341,2.815556,0.220678
709.913513,2.813417,0.218368
711.502625,2.811279,0.216055
713.091675,2.80914,0.213739
714.680664,2.807002,0.211419
716.269592,2.804864,0.209096
717.858398,2.802726,0.206769
719.447144,2.800588,0.204439
721.035767,2.79845,0.202106
722.62439,2.796313,0.199769
724.212891,2.794175,0.197429
725.801331,2.792038,0.195085
727.389709,2.789901,0.192737
728.977966,2.787765,0.190386
730.566162,2.785628,0.188032
732.154236,2.783492,0.185674
733.74231,2.781356,0.183313
735.3302,2.77922,0.180948
736.918091,2.777084,0.178579
738.50592,2.774949,0.176208
740.093628,2.772814,0.173832
741.681274,2.770679,0.171453
743.268799,2.768544,0.16907
744.856262,2.76641,0.166684
746.443604,2.764276,0.164295
748.030884,2.762142,0.161901
749.618103,2.760009,0.159504
751.2052,2.757876,0.157104
752.792297,2.755743,0.1547
754.379272,2.753611,0.152292
755.966125,2.751479,0.149881
757.552856,2.749347,0.147466
759.139526,2.747216,0.145047
760.726196,2.745085,0.142625
762.312683,2.742955,0.140199
763.899109,2.740825,0.13777
765.485474,2.738696,0.135337
767.071777,2.736567,0.1329
768.657898,2.734438,0.130459
770.244019,2.73231,0.128015
771.830017,2.730182,0.125567
773.415894,2.728055,0.123116
775.00177,2.725928,0.12066
776.587463,2.723802,0.118201
778.173096,2.721676,0.115739
779.758667,2.719551,0.113272
781.344116,2.717427,0.110802
782.929504,2.715302,0.108328
784.514771,2.713179,0.10585
786.099976,2.711056,0.103369
787.684998,2.708934,0.100884
789.27002,2.706812,0.098395
790.854919,2.704691,0.095902
792.439758,2.70257,0.093406
794.024475,2.70045,0.090905
795.60907,2.698331,0.088401
797.193604,2.696213,0.085893
798.778015,2.694095,0.083382
800.362427,2.691977,0.080866
801.946655,2.689861,0.078347
803.530762,2.687745,0.075824
805.114868,2.68563,0.073297
806.698792,2.683516,0.070766
808.282654,2.681402,0.068231
809.866394,2.679289,0.065693
811.450073,2.677177,0.06315
813.03363,2.675066,0.060604
814.617126,2.672955,0.058054
816.2005,2.670846,0.0555
817.783813,2.668737,0.052941
819.367004,2.666629,0.05038
820.950012,2.664522,0.047814
822.53302,2.662416,0.045244
824.115906,2.66031,0.042671
825.698608,2.658206,0.040093
827.281372,2.656102,0.037512
828.863953,2.653999,0.034926
830.446411,2.651898,0.032337
832.028809,2.649797,0.029743
833.611023,2.647697,0.027146
835.193176,2.645598,0.024545
836.775269,2.6435,0.02194
838.357239,2.641404,0.019331
839.939087,2.639308,0.016718
841.520813,2.637213,0.014101
843.102539,2.635119,0.011479
844.684082,2.633027,0.008854
846.265503,2.630935,0.006225
847.846863,2.628845,0.003592
849.42804,2.626755,0.000955
851.009155,2.625601,0
