wv,n,k
245.654739,2.587033,2.313792
247.251556,2.635663,2.244859
248.848419,2.672334,2.174698
250.445267,2.697453,2.106352
252.04216,2.713407,2.041201
253.639084,2.720615,1.981746
255.236008,2.722429,1.927513
256.832977,2.719539,1.879423
258.429962,2.714057,1.83643
260.026947,2.706509,1.798745
261.623962,2.697919,1.764947
263.221008,2.688462,1.73536
264.818054,2.678547,1.708751
266.415131,2.668228,1.685306
268.012238,2.657607,1.664524
269.609344,2.646752,1.646158
271.206482,2.635727,1.630515
272.80365,2.624658,1.617078
274.400818,2.613628,1.605882
275.997986,2.602803,1.597173
277.595184,2.592278,1.590527
279.192413,2.582185,1.585905
280.789612,2.572705,1.583492
282.386902,2.56395,1.583037
283.984161,2.555973,1.584397
285.581421,2.548898,1.587497
287.178711,2.542918,1.592381
288.776031,2.538136,1.59897
290.373352,2.5346,1.60709
291.970673,2.532414,1.616652
293.568054,2.531695,1.627598
295.165405,2.532569,1.63985
296.762756,2.535274,1.653409
298.360168,2.539931,1.668144
299.957581,2.546633,1.683912
301.554993,2.555545,1.700599
303.152405,2.566828,1.718111
304.749817,2.580683,1.736349
306.34726,2.597362,1.755263
307.944733,2.617276,1.774833
309.542175,2.641161,1.794978
311.139679,2.670143,1.815237
312.737152,2.705592,1.834282
314.334656,2.748398,1.849661
315.932159,2.797911,1.857903
317.529663,2.851651,1.856031
319.127167,2.905374,1.842459
320.724701,2.954761,1.818187
322.322235,2.996471,1.785864
323.919769,3.029149,1.749155
325.517303,3.053094,1.711355
327.114868,3.069647,1.674784
328.712433,3.080489,1.640723
330.309998,3.087146,1.609645
331.907562,3.090811,1.5816
333.505127,3.092276,1.556342
335.102722,3.092053,1.533715
336.700287,3.090333,1.513724
338.297882,3.087547,1.495954
339.895477,3.083816,1.480339
341.493073,3.079245,1.466876
343.090668,3.073945,1.455619
344.688263,3.068033,1.446667
346.285858,3.06161,1.440333
347.883484,3.054938,1.437271
349.481079,3.048415,1.437247
351.078674,3.04244,1.440466
352.67627,3.037474,1.447092
354.273865,3.034047,1.457281
355.87149,3.034087,1.472405
357.469086,3.037987,1.490955
359.066711,3.046608,1.512414
360.664307,3.060683,1.536159
362.261902,3.083073,1.561409
363.859528,3.114341,1.585522
365.457092,3.152949,1.606669
367.054718,3.198435,1.623675
368.652283,3.252339,1.63208
370.249908,3.310726,1.630451
371.847473,3.370717,1.620006
373.445068,3.431238,1.600175
375.042664,3.487446,1.56582
376.640228,3.53828,1.524772
378.237793,3.583716,1.477787
379.835358,3.618488,1.423801
381.432922,3.644746,1.367952
383.030457,3.664618,1.311373
384.628021,3.674674,1.25556
386.225555,3.677792,1.202812
387.82309,3.676812,1.152422
389.420624,3.670106,1.106822
391.018158,3.660646,1.065489
392.615662,3.649632,1.026859
394.213196,3.636591,0.99343
395.810669,3.623141,0.96277
397.408173,3.609362,0.934188
399.005646,3.595665,0.909645
400.603119,3.582139,0.886309
402.200592,3.568834,0.864995
403.798035,3.556027,0.845652
405.395447,3.543462,0.827118
406.992889,3.531497,0.810553
408.590302,3.519821,0.794732
410.187744,3.50851,0.779925
411.785095,3.497797,0.766231
413.382507,3.487308,0.752911
414.979889,3.477446,0.740855
416.57724,3.467781,0.729068
