wv,n,k
245.654739,1.63117,0.101592
247.251556,1.632172,0.099813
248.848419,1.632956,0.097915
250.445267,1.633388,0.095982
252.04216,1.633942,0.093818
253.639084,1.634505,0.091503
255.236008,1.634567,0.089302
256.832977,1.634873,0.086842
258.429962,1.634948,0.084412
260.026947,1.634665,0.082082
261.623962,1.634726,0.079474
263.221008,1.634104,0.077237
264.818054,1.634004,0.074595
266.415131,1.633167,0.072426
268.012238,1.632852,0.069839
269.609344,1.631796,0.067803
271.206482,1.631318,0.065295
272.80365,1.630245,0.06328
274.400818,1.629408,0.061084
275.997986,1.628451,0.058977
277.595184,1.62715,0.057268
279.192413,1.626305,0.055095
280.789612,1.625049,0.053401
282.386902,1.623757,0.051837
283.984161,1.62276,0.049909
285.581421,1.621454,0.048438
287.178711,1.620026,0.047231
288.776031,1.618981,0.045541
290.373352,1.617777,0.044109
291.970673,1.616379,0.043077
293.568054,1.615051,0.042074
295.165405,1.613965,0.040695
296.762756,1.612797,0.039494
298.360168,1.611545,0.03859
299.957581,1.610235,0.037929
301.554993,1.60903,0.037185
303.152405,1.607982,0.036183
304.749817,1.606917,0.035218
306.34726,1.605837,0.034418
307.944733,1.604755,0.033768
309.542175,1.603685,0.033242
311.139679,1.602636,0.032808
312.737152,1.601619,0.032436
314.334656,1.600661,0.03201
315.932159,1.599769,0.031461
317.529663,1.598905,0.03093
319.127167,1.598064,0.030424
320.724701,1.597248,0.029948
322.322235,1.59645,0.029505
323.919769,1.595677,0.029098
325.517303,1.594934,0.028725
327.114868,1.594216,0.028383
328.712433,1.593468,0.029089
330.309998,1.592839,0.027759
331.907562,1.592223,0.027533
333.505127,1.591607,0.027291
335.102722,1.591015,0.02706
336.700287,1.590443,0.026828
338.297882,1.589885,0.026531
339.895477,1.589326,0.026066
341.493073,1.588781,0.025618
343.090668,1.588252,0.025209
344.688263,1.587748,0.024859
346.285858,1.58728,0.024587
347.883484,1.586855,0.024409
349.481079,1.586485,0.024328
351.078674,1.586109,0.024259
352.67627,1.585697,0.02404
354.273865,1.585192,0.023461
355.87149,1.584728,0.023003
357.469086,1.584336,0.022711
359.066711,1.584043,0.022598
360.664307,1.583795,0.022596
362.261902,1.583431,0.022349
363.859528,1.582925,0.02174
365.457092,1.582524,0.021348
367.054718,1.582269,0.021209
368.652283,1.582097,0.02123
370.249908,1.581706,0.020868
371.847473,1.581213,0.020295
373.445068,1.580906,0.020024
375.042664,1.580791,0.020034
376.640228,1.580499,0.019828
378.237793,1.579965,0.019205
379.835358,1.57967,0.018931
381.432922,1.5796,0.01896
383.030457,1.579223,0.018605
384.628021,1.578731,0.018068
386.225555,1.578564,0.017932
387.82309,1.578487,0.017952
389.420624,1.577898,0.017315
391.018158,1.577597,0.017021
392.615662,1.577588,0.017061
394.213196,1.577088,0.016571
395.810669,1.576702,0.016189
397.408173,1.576708,0.016212
399.005646,1.576251,0.015793
400.603119,1.575839,0.015397
402.200592,1.575866,0.015421
403.798035,1.575372,0.01498
405.395447,1.57501,0.01464
406.992889,1.575055,0.014678
408.590302,1.574461,0.014158
410.187744,1.574233,0.013938
411.785095,1.57422,0.013931
413.382507,1.573565,0.013371
414.979889,1.57355,0.013315
416.57724,1.573166,0.01302
418.174561,1.57276,0.012676
419.771912,1.572837,0.01271
421.369232,1.572176,0.0122
422.966492,1.572134,0.012116
424.563812,1.571771,0.011852
426.161072,1.571387,0.011547
427.758362,1.571465,0.011575
429.35556,1.570776,0.01108
430.95282,1.57084,0.011071
432.550049,1.570279,0.010692
434.147217,1.570149,0.010555
435.744385,1.569854,0.010354
437.341553,1.569478,0.010082
438.938721,1.569465,0.010043
440.535828,1.568875,0.00966
442.132904,1.568991,0.009683
443.730042,1.568322,0.009275
445.327087,1.568411,0.009271
446.924133,1.567801,0.008916
448.521149,1.56783,0.008873
450.118164,1.567294,0.008575
451.715179,1.567253,0.008493
453.312103,1.566793,0.008244
454.909088,1.566687,0.008134
456.506012,1.566289,0.007921
458.102936,1.566141,0.007795
459.699799,1.565778,0.007603
461.296631,1.565619,0.007477
462.893494,1.565257,0.007291
464.490295,1.565118,0.007176
466.087097,1.564729,0.006986
467.683899,1.56464,0.006894
469.280609,1.564198,0.00669
470.87735,1.564174,0.006626
472.47403,1.56367,0.006404
474.070709,1.563715,0.006371
475.667328,1.563154,0.006131
477.263977,1.56326,0.006125
478.860535,1.562661,0.005874
480.457123,1.562799,0.005885
482.05365,1.562199,0.005636
483.650146,1.562204,0.005603
485.246643,1.561783,0.00542
486.843109,1.561599,0.005328
488.439514,1.561421,0.005224
490.03595,1.561032,0.005076
491.632263,1.561064,0.005042
493.228607,1.560525,0.00485
494.824951,1.560661,0.004856
496.421234,1.560098,0.004655
498.017487,1.560041,0.004607
499.613708,1.559763,0.004488
501.2099,1.559443,0.004374
502.806061,1.559467,0.004341
504.402191,1.558946,0.004176
505.998291,1.559065,0.004177
507.59433,1.558577,0.004015
509.190369,1.558404,0.003946
510.786377,1.558327,0.003887
512.382324,1.557867,0.003754
513.978271,1.558,0.003756
515.574158,1.557492,0.003605
517.170044,1.557352,0.003548
518.765869,1.557271,0.003493
520.361694,1.556819,0.003373
521.957397,1.556951,0.003376
523.553101,1.556487,0.003245
525.148804,1.556282,0.00318
526.744507,1.556294,0.003151
528.340088,1.555814,0.003033
529.935669,1.555828,0.003011
531.531189,1.555583,0.002932
533.126709,1.555235,0.002848
534.722168,1.555357,0.002847
536.317566,1.554901,0.002736
537.912964,1.554716,0.002683
539.508301,1.554745,0.002661
541.103638,1.554285,0.002561
542.698853,1.554229,0.002531
544.294128,1.554133,0.002487
545.889282,1.553716,0.002402
547.484497,1.553754,0.002389
549.07959,1.553524,0.002326
550.674622,1.553177,0.002256
552.269653,1.553276,0.002253
553.864624,1.552945,0.002179
555.459595,1.552655,0.002121
557.054504,1.552782,0.002121
558.649292,1.552398,0.002044
560.244141,1.552143,0.001993
561.838928,1.552261,0.001992
563.433655,1.551879,0.001919
565.02832,1.551635,0.001873
566.622925,1.551754,0.001872
568.217529,1.551384,0.001804
569.812073,1.551133,0.00176
571.406555,1.551253,0.001759
573.000977,1.550914,0.001698
574.595398,1.550638,0.001653
576.189758,1.550722,0.001648
577.784058,1.550472,0.0016
579.378296,1.550156,0.001554
580.972534,1.550186,0.001544
582.566711,1.550055,0.001511
584.160828,1.549694,0.001462
585.754883,1.549654,0.001445
587.348938,1.549634,0.001427
588.942871,1.549262,0.001378
590.536804,1.549137,0.001354
